Timestamp,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,Elapsed_Time,Time_Diff,Timestamp_Normalized
0,50753.0,80963.0,1757.0,0.0,691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009172999999009335,0.009007999999994354,15.508575540828069
1057.456869,9262.0,11061.0,35600.0,134.0,1612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2828199999969456,0.011097999999947206,29.07882261413581
1057.467967,1.0,0.0,0.0,82.0,5223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14102699999921242,0.01996899999994639,5.8158419439082625
1057.487936,20161.0,12723.0,10216.0,190.0,2902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.486610999996401,0.0010749999999006832,35.86492416219527
1057.489011,32648.0,11725.0,14952.0,537.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2973249999968175,0.01915000000008149,30.04903798277615
1057.508161,0.0,0.0,0.0,537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10084599999981947,0.040545999999949345,0.9693778839720506
1057.548707,0.0,0.0,0.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1084769999999935,0.007631000000174026,0.969384878754025
1057.556338,0.0,23616.0,0.0,537.0,3868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3383089999997537,0.012680999999929554,2.9081664405868377
1057.569019,1.0,0.0,13569.0,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3654239999998481,0.0017230000000836299,2.9081912949326942
1057.570742,26897.0,9364.0,25762.0,875.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8121169999967606,0.0011839999999665451,30.051343109463424
1057.571926,32943.0,17629.0,15672.0,56.0,2103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.597473999994236,0.0244439999999031,59.13337624419566
1057.59637,25488.0,36946.0,23573.0,1023.0,1797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.516017999995938,0.013018999999985681,35.86861762615156
1057.609389,0.0,0.0,5335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18200099999990016,0.020473000000038155,0.969452272850457
1057.629862,77314.0,77080.0,70671.0,0.0,5246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.879081999991286,0.011966000000029453,84.34238898162951
1057.641828,38571.0,34450.0,26936.0,0.0,1462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.017634999996744,0.0016590000000178406,30.053364747197683
1057.643487,36104.0,34954.0,47529.0,256.0,5033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.619450999995252,0.0016200000000026193,42.656460437691436
1057.645107,1.0,18925.0,12872.0,1.0,970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9924009999995178,0.005040000000008149,4.847336890665016
1057.650147,543235.5,303317.0,291443.0,3453.0,16029.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.24323899999081,0.0010339999998905114,87.252412369546
1057.651181,23197.0,212189.0,125138.0,2961.0,17727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.548559999991312,0.0010010000000875152,83.37463382474483
1057.652182,24509.0,30142.0,53945.0,53.0,7850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.81438099999491,0.0012409999999363208,46.53469752615368
1057.653423,0.0,0.0,0.0,1487.0,2218.0,0.0,1258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0630489999994097,0.0010760000000118453,9.694745504656611
1057.654499,227342.0,363856.0,160722.0,235.0,31256.0,0.0,739.0,0.0,0.0,186.0,44666.0,0.0,0.0,0.0,46.195467999977154,0.0010110000000622676,216.19299843205155
1057.65551,142771.0,262985.0,154709.0,957.0,12008.0,140.0,0.0,0.0,0.0,130.0,171866.0,0.0,5.0,0.0,16.64372099999173,0.0010469999999713764,77.55809175000059
